,altitudes_m,density_kg_m3,viscosity_Pa_s,residual_kg_m3,density_hybrid_kg_m3
80,16000.0,0.16542,1.43226e-05,-0.02106357804004494,0.16542
81,16200.0,0.160284,1.43226e-05,-0.02186294839067021,0.160284
82,16400.0,0.155308,1.43226e-05,-0.02260316599505094,0.155308
83,16600.0,0.150487,1.43226e-05,-0.023286885675154412,0.150487
84,16800.0,0.145815,1.43226e-05,-0.023917816789484986,0.145815
85,17000.0,0.141288,1.43226e-05,-0.02449772196485059,0.141288
86,17200.0,0.136901,1.43226e-05,-0.025029415857621223,0.136901
87,17400.0,0.132651,1.43226e-05,-0.025513763943794565,0.132651
88,17600.0,0.128533,1.43226e-05,-0.02595368133719772,0.128533
89,17800.0,0.124543,1.43226e-05,-0.026351131635172317,0.124543
90,18000.0,0.120676,1.43226e-05,-0.026709125791101573,0.120676
91,18200.0,0.11693,1.43226e-05,-0.02702772101315773,0.11693
92,18400.0,0.113299,1.43226e-05,-0.027311019688658192,0.113299
93,18600.0,0.109782,1.43226e-05,-0.027558168333435537,0.109782
94,18800.0,0.106374,1.43226e-05,-0.027772356565640116,0.106374
95,19000.0,0.103071,1.43226e-05,-0.027955816103405806,0.103071
96,19200.0,0.0998714,1.43226e-05,-0.028108419785825595,0.0998714
97,19400.0,0.0967709,1.43226e-05,-0.028232780616693667,0.0967709
98,19600.0,0.0937666,1.43226e-05,-0.028330150830485276,0.0937666
99,19800.0,0.0908555,1.43226e-05,-0.028401920980056783,0.0908555
100,20000.0,0.0880349,1.43226e-05,-0.0284492190455614,0.0880349
101,20200.0,0.0852243,1.4334e-05,-0.028551009564086308,0.0852243
102,20400.0,0.082506,1.43453e-05,-0.028623492779530343,0.082506
103,20600.0,0.0798768,1.43566e-05,-0.028668403812250887,0.0798768
104,20800.0,0.0773336,1.43679e-05,-0.028687411848020344,0.0773336
105,21000.0,0.0748737,1.43792e-05,-0.028681819345843546,0.0748737
106,21200.0,0.0724941,1.43905e-05,-0.02865326126419654,0.0724941
107,21400.0,0.0701923,1.44018e-05,-0.028602904305259705,0.0701923
108,21600.0,0.0679655,1.44131e-05,-0.028532246176725617,0.0679655
109,21800.0,0.0658114,1.44244e-05,-0.028442314870773464,0.0658114
110,22000.0,0.0637273,1.44357e-05,-0.028334567959810958,0.0637273
111,22200.0,0.0617111,1.44469e-05,-0.028209891908593167,0.0617111
112,22400.0,0.0597605,1.44582e-05,-0.02806940140233822,0.0597605
113,22600.0,0.0578732,1.44695e-05,-0.027914238690467427,0.0578732
114,22800.0,0.0560471,1.44808e-05,-0.02774537294560646,0.0560471
115,23000.0,0.0542803,1.4492e-05,-0.027563599637492865,0.0542803
116,23200.0,0.0525706,1.45033e-05,-0.027370039921443302,0.0525706
117,23400.0,0.0509164,1.45145e-05,-0.027165240041041636,0.0509164
118,23600.0,0.0493155,1.45258e-05,-0.026950370744717456,0.0493155
119,23800.0,0.0477665,1.4537e-05,-0.02672582671589202,0.0477665
120,24000.0,0.0462674,1.45483e-05,-0.026492626016375836,0.0462674
121,24200.0,0.0448166,1.45595e-05,-0.026251409542710075,0.0448166
122,24400.0,0.0434126,1.45707e-05,-0.026002740495150382,0.0434126
123,24600.0,0.0420538,1.4582e-05,-0.025747303858999662,0.0420538
124,24800.0,0.0407387,1.45932e-05,-0.025485705898002073,0.0407387
125,25000.0,0.0394658,1.46044e-05,-0.025218573659518136,0.0394658
126,25200.0,0.0382338,1.46156e-05,-0.0249463544912069,0.0382338
127,25400.0,0.0370414,1.46268e-05,-0.024669515568947434,0.0370414
128,25600.0,0.0358871,1.4638e-05,-0.024388743435738533,0.0358871
129,25800.0,0.0347698,1.46492e-05,-0.02410434355132103,0.0347698
130,26000.0,0.0336882,1.46604e-05,-0.023816839852273723,0.0336882
131,26200.0,0.0326413,1.46716e-05,-0.023526474322338967,0.0326413
132,26400.0,0.0316277,1.46828e-05,-0.023233906572740458,0.0316277
133,26600.0,0.0306465,1.4694e-05,-0.02293931343226034,0.0306465
134,26800.0,0.0296966,1.47052e-05,-0.02264308854684925,0.0296966
