altitudes_m,density_kg_m3,viscosity_Pa_s
34400.0,0.0090225,1.53642e-05
34600.0,0.00874385,1.53948e-05
34800.0,0.00847443,1.54254e-05
35000.0,0.00821392,1.54559e-05
35200.0,0.00796201,1.54864e-05
35400.0,0.00771839,1.55169e-05
35600.0,0.00748277,1.55474e-05
35800.0,0.00725486,1.55778e-05
36000.0,0.00703441,1.56082e-05
36200.0,0.00682115,1.56385e-05
36400.0,0.00661483,1.56688e-05
36600.0,0.0064152,1.56991e-05
36800.0,0.00622205,1.57294e-05
37000.0,0.00603513,1.57596e-05
37200.0,0.00585424,1.57898e-05
37400.0,0.00567917,1.582e-05
37600.0,0.00550972,1.58502e-05
37800.0,0.00534569,1.58803e-05
38000.0,0.00518691,1.59104e-05
38200.0,0.00503319,1.59404e-05
38400.0,0.00488436,1.59704e-05
38600.0,0.00474025,1.60004e-05
38800.0,0.00460071,1.60304e-05
39000.0,0.00446557,1.60603e-05
39200.0,0.0043347,1.60902e-05
39400.0,0.00420794,1.61201e-05
39600.0,0.00408516,1.615e-05
39800.0,0.00396623,1.61798e-05
40000.0,0.00385101,1.62096e-05
40200.0,0.00373939,1.62393e-05
40400.0,0.00363123,1.62691e-05
40600.0,0.00352644,1.62988e-05
40800.0,0.00342489,1.63284e-05
41000.0,0.00332648,1.63581e-05
41200.0,0.00323111,1.63877e-05
41400.0,0.00313867,1.64173e-05
41600.0,0.00304907,1.64468e-05
41800.0,0.00296222,1.64763e-05
42000.0,0.00287802,1.65058e-05
42200.0,0.00279639,1.65353e-05
42400.0,0.00271725,1.65647e-05
42600.0,0.00264051,1.65942e-05
42800.0,0.00256609,1.66235e-05
43000.0,0.00249393,1.66529e-05
43200.0,0.00242395,1.66822e-05
43400.0,0.00235607,1.67115e-05
43600.0,0.00229024,1.67408e-05
43800.0,0.00222638,1.677e-05
44000.0,0.00216443,1.67992e-05
44200.0,0.00210433,1.68284e-05
44400.0,0.00204602,1.68576e-05
44600.0,0.00198945,1.68867e-05
44800.0,0.00193456,1.69158e-05
45000.0,0.00188129,1.69449e-05
45200.0,0.0018296,1.69739e-05
45400.0,0.00177943,1.70029e-05
45600.0,0.00173074,1.70319e-05
