period,"Annual – Bangladesh – Financial, Financial Soundness Indicators, Encouraged Set, Deposit Takers, Customer Deposits to Total (Non-interbank) Loans, Percent (IMF/FSI/A.BD.FSCD_PT)"
2011,122.219016554602
2012,124.390717590291
2013,133.777258717735
2014,133.037457964521
2015,131.53849572597
2016,129.222277697208
2017,120.092243303583
2018,115.98768246036
2019,116.897540724493
2020,122.76419132499
2021,119.87968746429
2022,105.107574276995
2023,106.025448735225
2024,107.150132536464
