period,"Annual – Bangladesh – Financial, Financial Soundness Indicators, Core Set, Deposit Takers, Asset Quality, Non-performing Loans to Total Gross Loans, Percent (IMF/FSI/A.BD.FSANL_PT)"
2011,1.9042059394074
2012,6.72327958982541
2013,4.84439636539416
2014,9.36516719804562
2015,8.39790781352825
2016,8.8585217562526
2017,8.89566055291347
2018,9.88732966644866
2019,8.90213335235847
2020,7.73754873370445
2021,7.96907960398037
2022,8.72436040117116
2023,9.56912775275673
2024,18.9607821141027
