,indicator_name,year,value,change_per_year
0,Deposits_to_loans_pct,2012,124.390717590291,
1,Deposits_to_loans_pct,2013,133.777258717735,7.546014131344347
2,Deposits_to_loans_pct,2014,133.037457964521,-0.5530093532376545
3,Deposits_to_loans_pct,2015,131.53849572597,-1.1267219484536128
4,Deposits_to_loans_pct,2016,129.222277697208,-1.7608670495877443
5,Deposits_to_loans_pct,2017,120.092243303583,-7.065371820034294
6,Deposits_to_loans_pct,2018,115.98768246036,-3.4178400955064303
7,Deposits_to_loans_pct,2019,116.897540724493,0.7844438692392597
8,Deposits_to_loans_pct,2020,122.76419132499,5.018626195330889
9,Deposits_to_loans_pct,2021,119.87968746429,-2.34962966771306
10,Deposits_to_loans_pct,2022,105.107574276995,-12.322448864988367
11,Deposits_to_loans_pct,2023,106.025448735225,0.8732714692958998
12,Deposits_to_loans_pct,2024,107.150132536464,1.0607677823157857
