,indicator_name,year,value,change_per_year
0,inflation_consumer_prices_annual_,2011,11.3951651552399,
1,inflation_consumer_prices_annual_,2012,6.21750422069284,-45.43734877037906
2,inflation_consumer_prices_annual_,2013,7.53040640913172,21.116225125659472
3,inflation_consumer_prices_annual_,2014,6.99163889220849,-7.154560957957001
4,inflation_consumer_prices_annual_,2015,6.19428022984984,-11.40446002220209
5,inflation_consumer_prices_annual_,2016,5.51352572692995,-10.99005013753459
6,inflation_consumer_prices_annual_,2017,5.70207015717239,3.419670816470921
7,inflation_consumer_prices_annual_,2018,5.54362139486476,-2.778793630034937
8,inflation_consumer_prices_annual_,2019,5.59199639930629,0.8726246075596134
9,inflation_consumer_prices_annual_,2020,5.69107474746211,1.7717884826984331
10,inflation_consumer_prices_annual_,2021,5.54565430773473,-2.555236860879917
11,inflation_consumer_prices_annual_,2022,7.69695437176898,38.79253816873784
12,inflation_consumer_prices_annual_,2023,9.8835030377921,28.407972301914384
13,inflation_consumer_prices_annual_,2024,10.4657482763412,5.891081697680844
