,indicator_name,year,value,change_per_year
0,broad_money_of_gdp_,2011,59.8117683130297,
1,broad_money_of_gdp_,2012,60.7424608294873,1.5560357814314196
2,broad_money_of_gdp_,2013,61.399914294208,1.0823622483229212
3,broad_money_of_gdp_,2014,63.3375540979273,3.1557695576491795
4,broad_money_of_gdp_,2015,64.5065520747659,1.8456632774786375
5,broad_money_of_gdp_,2016,54.9691444990129,-14.785176496022823
6,broad_money_of_gdp_,2017,55.8375416123996,1.5797901191682007
7,broad_money_of_gdp_,2018,54.8325562875275,-1.7998380585024232
8,broad_money_of_gdp_,2019,54.8702535060565,0.0687497010559257
9,broad_money_of_gdp_,2020,57.7630649896826,5.272094256511495
10,broad_money_of_gdp_,2021,56.6372785923275,-1.948972751975997
11,broad_money_of_gdp_,2022,54.117700850947,-4.448620774165901
12,broad_money_of_gdp_,2023,51.2185633263359,-5.357096622777857
13,broad_money_of_gdp_,2024,48.7974312513377,-4.727059717727933
