Organism	Feature_A	Feature_B	Mutual_Information
Mus musculus	freq_H	freq_T	0.1274
Mus musculus	freq_H	freq_V	0.0801
Mus musculus	freq_H	freq_W	0.3354
Mus musculus	freq_H	freq_Y	0.2321
Mus musculus	freq_I	freq_K	0.107
Mus musculus	freq_I	freq_L	0.0591
Mus musculus	freq_I	freq_M	0.2093
Mus musculus	freq_I	freq_N	0.1723
Mus musculus	freq_I	freq_P	0.1944
Mus musculus	freq_I	freq_Q	0.1248
Mus musculus	freq_I	freq_R	0.1416
Mus musculus	freq_I	freq_S	0.0906
Mus musculus	freq_I	freq_T	0.08
Mus musculus	freq_I	freq_V	0.1241
Mus musculus	freq_I	freq_W	0.1284
Mus musculus	freq_I	freq_Y	0.1833
Mus musculus	freq_K	freq_L	0.0836
Mus musculus	freq_K	freq_M	0.099
Mus musculus	freq_K	freq_N	0.1265
Mus musculus	freq_K	freq_P	0.1087
Mus musculus	freq_K	freq_Q	0.072
Mus musculus	freq_K	freq_R	0.0816
Mus musculus	freq_K	freq_S	0.0546
Mus musculus	freq_K	freq_T	0.0792
Mus musculus	freq_K	freq_V	0.0562
Mus musculus	freq_K	freq_W	0.1148
Mus musculus	freq_K	freq_Y	0.0865
Mus musculus	freq_L	freq_M	0.0603
Mus musculus	freq_L	freq_N	0.061
Mus musculus	freq_L	freq_P	0.0444
Mus musculus	freq_L	freq_Q	0.0332
Mus musculus	freq_L	freq_R	0.0449
Mus musculus	freq_L	freq_S	0.0532
Mus musculus	freq_L	freq_T	0.0339
Mus musculus	freq_L	freq_V	0.048
Mus musculus	freq_L	freq_W	0.0594
Mus musculus	freq_L	freq_Y	0.0554
Mus musculus	freq_M	freq_N	0.2056
Mus musculus	freq_M	freq_P	0.1289
Mus musculus	freq_M	freq_Q	0.1608
Mus musculus	freq_M	freq_R	0.1228
Mus musculus	freq_M	freq_S	0.0902
Mus musculus	freq_M	freq_T	0.1449
Mus musculus	freq_M	freq_V	0.0865
Mus musculus	freq_M	freq_W	0.3155
Mus musculus	freq_M	freq_Y	0.2739
Mus musculus	freq_N	freq_P	0.1129
Mus musculus	freq_N	freq_Q	0.1207
Mus musculus	freq_N	freq_R	0.1455
Mus musculus	freq_N	freq_S	0.0443
Mus musculus	freq_N	freq_T	0.1043
Mus musculus	freq_N	freq_V	0.077
Mus musculus	freq_N	freq_W	0.1499
Mus musculus	freq_N	freq_Y	0.196
Mus musculus	freq_P	freq_Q	0.0856
Mus musculus	freq_P	freq_R	0.0774
Mus musculus	freq_P	freq_S	0.084
Mus musculus	freq_P	freq_T	0.0595
Mus musculus	freq_P	freq_V	0.0876
Mus musculus	freq_P	freq_W	0.1303
Mus musculus	freq_P	freq_Y	0.1066
Mus musculus	freq_Q	freq_R	0.1001
Mus musculus	freq_Q	freq_S	0.0518
Mus musculus	freq_Q	freq_T	0.0932
Mus musculus	freq_Q	freq_V	0.1081
Mus musculus	freq_Q	freq_W	0.1562
Mus musculus	freq_Q	freq_Y	0.1462
Mus musculus	freq_R	freq_S	0.0538
Mus musculus	freq_R	freq_T	0.1074
Mus musculus	freq_R	freq_V	0.0735
Mus musculus	freq_R	freq_W	0.0792
Mus musculus	freq_R	freq_Y	0.0723
Mus musculus	freq_S	freq_T	0.0625
Mus musculus	freq_S	freq_V	0.0894
Mus musculus	freq_S	freq_W	0.0815
Mus musculus	freq_S	freq_Y	0.1025
Mus musculus	freq_T	freq_V	0.0908
Mus musculus	freq_T	freq_W	0.101
Mus musculus	freq_T	freq_Y	0.0989
Mus musculus	freq_V	freq_W	0.0763
Mus musculus	freq_V	freq_Y	0.0872
Mus musculus	freq_W	freq_Y	0.2907
