Organism	Feature_A	Feature_B	Mutual_Information
Bos taurus	freq_F	freq_W	0.353
Bos taurus	freq_F	freq_Y	0.3094
Bos taurus	freq_G	freq_H	0.1666
Bos taurus	freq_G	freq_I	0.1358
Bos taurus	freq_G	freq_K	0.1501
Bos taurus	freq_G	freq_L	0.0844
Bos taurus	freq_G	freq_M	0.1739
Bos taurus	freq_G	freq_N	0.1711
Bos taurus	freq_G	freq_P	0.122
Bos taurus	freq_G	freq_Q	0.1316
Bos taurus	freq_G	freq_R	0.0902
Bos taurus	freq_G	freq_S	0.0944
Bos taurus	freq_G	freq_T	0.1026
Bos taurus	freq_G	freq_V	0.1139
Bos taurus	freq_G	freq_W	0.1447
Bos taurus	freq_G	freq_Y	0.1278
Bos taurus	freq_H	freq_I	0.2566
Bos taurus	freq_H	freq_K	0.1697
Bos taurus	freq_H	freq_L	0.0978
Bos taurus	freq_H	freq_M	0.449
Bos taurus	freq_H	freq_N	0.2986
Bos taurus	freq_H	freq_P	0.1924
Bos taurus	freq_H	freq_Q	0.2843
Bos taurus	freq_H	freq_R	0.1985
Bos taurus	freq_H	freq_S	0.1384
Bos taurus	freq_H	freq_T	0.2259
Bos taurus	freq_H	freq_V	0.1735
Bos taurus	freq_H	freq_W	0.5114
Bos taurus	freq_H	freq_Y	0.3804
Bos taurus	freq_I	freq_K	0.1766
Bos taurus	freq_I	freq_L	0.0957
Bos taurus	freq_I	freq_M	0.294
Bos taurus	freq_I	freq_N	0.2745
Bos taurus	freq_I	freq_P	0.2156
Bos taurus	freq_I	freq_Q	0.1849
Bos taurus	freq_I	freq_R	0.1978
Bos taurus	freq_I	freq_S	0.1162
Bos taurus	freq_I	freq_T	0.1752
Bos taurus	freq_I	freq_V	0.1525
Bos taurus	freq_I	freq_W	0.2394
Bos taurus	freq_I	freq_Y	0.2444
Bos taurus	freq_K	freq_L	0.1283
Bos taurus	freq_K	freq_M	0.1979
Bos taurus	freq_K	freq_N	0.1806
Bos taurus	freq_K	freq_P	0.1418
Bos taurus	freq_K	freq_Q	0.1182
Bos taurus	freq_K	freq_R	0.1272
Bos taurus	freq_K	freq_S	0.1112
Bos taurus	freq_K	freq_T	0.1116
Bos taurus	freq_K	freq_V	0.1027
Bos taurus	freq_K	freq_W	0.1901
Bos taurus	freq_K	freq_Y	0.1699
Bos taurus	freq_L	freq_M	0.082
Bos taurus	freq_L	freq_N	0.0762
Bos taurus	freq_L	freq_P	0.0771
Bos taurus	freq_L	freq_Q	0.0746
Bos taurus	freq_L	freq_R	0.0626
Bos taurus	freq_L	freq_S	0.0504
Bos taurus	freq_L	freq_T	0.114
Bos taurus	freq_L	freq_V	0.0762
Bos taurus	freq_L	freq_W	0.0887
Bos taurus	freq_L	freq_Y	0.0699
Bos taurus	freq_M	freq_N	0.3869
Bos taurus	freq_M	freq_P	0.2442
Bos taurus	freq_M	freq_Q	0.2754
Bos taurus	freq_M	freq_R	0.2063
Bos taurus	freq_M	freq_S	0.1669
Bos taurus	freq_M	freq_T	0.2638
Bos taurus	freq_M	freq_V	0.1753
Bos taurus	freq_M	freq_W	0.5511
Bos taurus	freq_M	freq_Y	0.4108
Bos taurus	freq_N	freq_P	0.189
Bos taurus	freq_N	freq_Q	0.2358
Bos taurus	freq_N	freq_R	0.2002
Bos taurus	freq_N	freq_S	0.1227
Bos taurus	freq_N	freq_T	0.1921
Bos taurus	freq_N	freq_V	0.1319
Bos taurus	freq_N	freq_W	0.2959
Bos taurus	freq_N	freq_Y	0.2986
Bos taurus	freq_P	freq_Q	0.1535
Bos taurus	freq_P	freq_R	0.1309
Bos taurus	freq_P	freq_S	0.1121
Bos taurus	freq_P	freq_T	0.1541
Bos taurus	freq_P	freq_V	0.1281
Bos taurus	freq_P	freq_W	0.2108
Bos taurus	freq_P	freq_Y	0.1981
Bos taurus	freq_Q	freq_R	0.1488
Bos taurus	freq_Q	freq_S	0.1009
Bos taurus	freq_Q	freq_T	0.1847
Bos taurus	freq_Q	freq_V	0.1519
Bos taurus	freq_Q	freq_W	0.2925
Bos taurus	freq_Q	freq_Y	0.2523
Bos taurus	freq_R	freq_S	0.0916
Bos taurus	freq_R	freq_T	0.1581
Bos taurus	freq_R	freq_V	0.1113
Bos taurus	freq_R	freq_W	0.1606
Bos taurus	freq_R	freq_Y	0.1919
Bos taurus	freq_S	freq_T	0.1253
Bos taurus	freq_S	freq_V	0.1177
Bos taurus	freq_S	freq_W	0.1297
Bos taurus	freq_S	freq_Y	0.1672
Bos taurus	freq_T	freq_V	0.1567
Bos taurus	freq_T	freq_W	0.2027
Bos taurus	freq_T	freq_Y	0.2048
Bos taurus	freq_V	freq_W	0.1334
Bos taurus	freq_V	freq_Y	0.1444
Bos taurus	freq_W	freq_Y	0.4382
Homo sapiens	entropy	hydrophobicity	0.1075
Homo sapiens	entropy	freq_A	0.1832
Homo sapiens	entropy	freq_C	0.1389
Homo sapiens	entropy	freq_D	0.0966
Homo sapiens	entropy	freq_E	0.1468
Homo sapiens	entropy	freq_F	0.1741
Homo sapiens	entropy	freq_G	0.1172
Homo sapiens	entropy	freq_H	0.0961
Homo sapiens	entropy	freq_I	0.1824
